,323_CT,381_CT,398_CT,382_CT,397_CT,485_CT,486_CT,487_CT,488_CT,489_CT,490_CT,491_CT,492_CT,494_CT,496_CT,497_CT,498_CT,499_CT,500_CT,501_CT,472_CT,459_CT,323_LT,381_LT,398_LT,382_LT,397_LT,489_LT,496_LT,472_LT,459_LT
A0A024R2N0,2.432446884,0.266811758,2.089116397,0.374141231,-1.255149024,0.489758275,-0.20495364,-2.571842648,0.776092784,-1.097119084,-1.391006348,0.616705031,-1.044600341,1.597205096,-1.038568449,0.389696682,0.660716039,-0.97049263,1.471423054,1.776335669,-0.292157001,-0.462078142,0.838008425,-0.743726499,0.696430968,-0.038036611,-0.044900702,-1.150474314,0.504599328,-0.692861299,-0.476476999
A0A024R2Q3,1.496760473,-1.019059799,0.853223465,1.221912511,-0.881452487,0.566034307,1.117582831,0.693677838,0.889591705,-0.017075243,0.557268689,-2.112019332,1.397053893,-0.765148591,0.941985132,0.12188181,0.441510924,0.13151694,-0.339023386,-0.902431699,-0.833346835,0.280810394,0.876170096,-3.024213151,0.418744869,0.325080058,-0.757546982,-0.110909907,0.268199959,-1.246340114,-0.482784386
A0A024R2Q4,1.162319619,-0.937645709,0.552792551,0.72346594,-0.266908488,-0.140238718,0.455602196,1.623396236,0.920525414,-0.712425223,0.605086824,0.015807288,1.101766458,-3.023356809,0.957412599,-0.073812646,1.393970165,0.247486637,0.115561598,-0.869339317,-0.563626874,1.112021026,-0.292013881,-1.288449325,-0.74850277,-1.162895866,-1.392900819,0.65696644,0.202229708,-1.553676963,0.698713936
A0A024R2Q5,-0.369337227,1.722963715,0.828885315,0.94960166,0.195795558,0.756756423,0.138997551,1.310059017,0.0098157,-0.747325809,-0.606478187,-0.392781339,-0.794423624,2.732666835,-1.144120206,-0.821756238,0.513929393,0.150226501,0.757289999,-1.633263766,0.24077347,-0.106901669,-0.254794579,-1.971554805,0.072576158,0.522388869,-1.625694483,-0.588529454,-0.609898352,-0.15441066,-0.547826813
A0A024R2S0,0.143090891,-1.694072713,0.82289917,-0.086030602,-0.335633608,0.11983025,0.115919321,0.172684502,-0.17431553,0.887525926,0.875314044,-0.561047876,-0.817584554,-0.288880304,-0.009211824,1.041154121,-0.305020267,0.59487437,-0.260793599,-0.593920325,0.160865811,0.373069698,-0.013029472,-0.756951389,0.855438797,-0.047188875,-0.192248463,1.162036868,0.277124197,-4.671668235,0.174196385
A0A024R2U5,0.081578812,-0.324334823,-0.263967314,2.076916804,-1.283938718,-1.834055678,-0.234799001,0.369343505,1.137923007,0.77776543,-1.620628003,0.62830373,-0.505385599,0.191906193,1.172360769,-1.402755552,-1.667429124,-1.329753424,-0.327700866,-0.891252727,-0.927779887,0.87581122,0.097113097,1.24892238,-0.732914344,0.87166579,0.778724975,-0.166441266,1.501796976,-1.140056236,2.320952743
A0A024R2U6,0.471871764,-1.521147823,0.974747809,2.504167996,-0.225119715,1.05432753,0.357404644,1.000628582,-0.512283386,1.824837379,-0.842839738,0.739007636,1.913018251,-0.858057498,-1.264494106,-0.693210517,-0.390162597,0.861659631,-0.141994883,-1.193113262,0.049413349,-0.480618876,-0.578662099,-1.121088083,0.060693461,0.382918774,0.836827188,1.715561694,-1.492124441,-0.908071662,-0.573191492
A0A024R2U7,0.579643318,0.220675168,-0.079585977,0.462099921,0.198672663,-0.373393423,0.090461786,0.086406626,-0.025413255,0.221620264,0.143609461,-0.355515801,0.462787106,-0.277363098,0.553402426,0.364513451,0.04040887,0.100352612,0.424475837,0.363978054,0.151050449,-0.234312949,-5.188151445,-0.46788024,0.251771487,0.722630623,-0.770066945,0.749098813,0.110040561,0.247194967,0.613111098
A0A024R2W3,-1.145183317,-2.648894363,-0.67632587,1.245088401,0.370527277,-0.193745605,0.103774364,-0.232087219,-0.833090415,0.110553754,-0.262211014,1.573860496,-0.664973983,-0.458735005,0.295584883,-0.422633929,-0.345838777,-0.883033452,0.695047801,1.697099715,-1.118235838,-0.692716883,-1.649834435,0.209714776,1.31280948,2.246358692,1.028423635,0.470358548,0.490287568,-0.023626246,-0.306164983
A0A024R2W4,-0.593880595,0.29687275,-0.447442989,0.48180973,0.740189447,-0.857687069,0.187565899,0.337455978,0.145438806,0.721704618,-0.947112599,-0.52500999,-0.503880569,3.01603975,-1.204220705,0.615867539,0.870714178,0.158053798,-1.376769598,-0.153006189,0.65987714,0.39855434,-2.405439836,-0.784061828,-0.401621536,0.537003597,-0.205634429,0.518303922,-0.551050117,0.073613204,0.432467273
A0A024R2W7,1.621379652,0.780125188,0.228618084,-0.07696247,0.320342749,0.068147223,0.047594809,-0.122760403,-0.691548703,1.661413868,-0.55407682,-0.288392997,-0.432231032,-0.551298723,-0.462430929,-0.173037356,-0.086763761,-0.191326272,-0.402211227,1.692927137,0.378911036,-0.431124975,1.723109117,-1.058717723,0.31114426,0.457820432,-2.467972721,1.57935744,-0.523627001,0.267105401,0.615446643
A0A024R301,-1.260800824,-1.295295759,-0.535381618,0.622305157,0.417637902,-0.944264141,0.155856648,-1.51925067,-0.431572132,0.315096034,1.129905052,-0.352677062,-0.373182879,-1.427358987,0.775945343,0.476462943,-0.717023966,0.046138457,0.123064316,-1.565043223,-0.625882095,1.583211395,1.02271786,-1.787118488,1.481569562,0.910201166,0.436019073,0.562810823,0.69105081,-0.230639276,1.105273565
A0A024R316,-1.473028324,-0.165112028,1.270041569,0.690473825,0.580168069,-0.30344759,0.070625836,0.798393303,-2.260648747,1.569070005,0.279903339,-1.265481589,-0.344303981,-2.280085044,1.289820747,0.094761577,0.267426736,0.159286526,-0.043800071,0.525311983,2.372677831,-2.030491326,-1.482460932,0.283855142,0.178460776,-0.878918006,0.622389523,-2.88771105,-1.172152341,0.36636523,0.556867985
A0A024R323,-0.154154772,-1.977776901,0.161218898,0.734377058,-0.596098314,0.227288399,-0.229500264,-0.457220289,0.493333269,-0.38745469,0.184870773,-2.192445264,-0.71244473,1.792426146,0.011267018,-0.084808611,-1.382348674,-0.213253046,0.656902135,0.908221273,0.124521079,2.31341581,0.029410326,1.930960295,-0.238898989,-0.372891692,0.445623694,-0.041743319,-0.005178987,2.780196334,2.410969586
A0A024R324,0.462704137,-1.387098403,0.860014991,0.30941856,-0.934642915,1.489781643,0.480047,0.750222822,0.229626096,0.316246632,0.040170909,0.516490414,-0.034956008,0.351791763,-0.193405758,0.224832216,-0.01758119,0.280737867,1.009728784,-1.829146591,0.062123384,0.483658612,1.169768384,-2.899603403,1.051392908,-0.397239908,1.056090539,-0.475134383,-0.641262367,-2.714161489,0.026002196
A0A024R326,-0.266734978,-0.162285854,0.449755106,2.58809957,0.470490794,-0.685791846,0.054868831,0.247837465,-0.26896645,-1.250842447,-0.157586791,-0.132648621,0.44405151,0.716683567,-0.159283659,-0.509563553,1.50112866,-0.429572367,-0.288928757,0.57725456,-1.967438455,-1.878445952,-1.198786645,-0.241635506,1.005916288,1.992476583,0.332041135,0.223482357,-0.194790113,-0.718676669,-1.429832716
A0A024R328,-0.109846477,-0.438048512,0.125628927,2.175746869,0.333380661,0.113699809,-0.519896318,-0.542636659,-0.684951595,0.935256112,0.818297321,-0.718737949,0.220019134,-1.704856094,0.024147993,0.001659738,0.171706242,0.248165007,0.083316499,-0.763342981,1.170932462,1.39283296,0.980175337,-2.455259482,-0.707516739,1.754072134,1.562694947,-1.04883911,-0.921518551,-1.160297013,0.762983436
A0A024R332,-0.040671126,0.560356341,-0.271855664,-0.104862111,0.415823288,-0.43182286,0.034406836,0.580170713,0.066475741,-0.238520559,0.264652584,-0.342647537,-0.153321228,0.119450384,0.121848018,2.867322678,0.561497558,-1.181110766,0.13036201,0.133672568,0.244630972,-0.380897973,0.208540967,0.830056371,0.216858495,0.793178379,0.547710056,-0.675975447,0.089853303,0.668778612,-0.869504953
A0A024R333,0.341279616,-0.555344898,0.556070653,-0.806647749,0.333292006,-0.00026002,-0.052603173,0.193577605,1.422004393,-0.252194255,-0.117936702,-0.860308512,1.233175202,1.385761083,0.758408435,-0.818683532,0.963144748,1.615792247,-0.628229541,1.208693338,-1.075190698,1.564196613,-0.874855872,-3.23538938,-0.34537165,-0.214763188,0.133842056,-0.994838926,-0.688378748,-0.784998196,0.754166506
A0A024R342,2.115059581,-1.549748235,-0.019040919,-0.062268366,1.278361061,-0.39300715,-0.291634708,-0.64158292,0.067814916,0.632573119,0.149408508,0.181203047,1.979973085,1.527834289,0.727267176,0.23339918,0.35478751,-0.005194194,-0.366360232,-0.163842127,-2.120223311,0.144505265,-0.883420082,1.121691531,1.136325109,-0.566337888,2.803501806,-0.117191328,-0.074200604,2.574101837,-0.309110661
A0A024R355,1.420328024,-0.312526459,-0.540298241,-1.558046709,0.774884137,-1.951919047,-1.321136409,-1.358695291,0.17753048,-0.511914797,-0.303250052,-1.673823277,-0.576467971,-0.15940881,-1.115132601,-0.162344887,-0.619272465,0.007388378,-1.09919186,-0.628599604,0.091463044,1.149666594,1.659572515,1.197423818,-0.054718637,1.58984117,0.937441934,-1.076383631,-1.075495611,-0.47528772,0.148649891
A0A024R357,1.355638376,0.33332058,0.641187386,1.494639893,0.040896105,-0.636622806,0.521017238,1.168395339,0.181321498,-1.938513764,0.164861274,-0.496619198,0.751194998,-1.084062115,0.511077157,0.424957897,-0.026937728,-0.431650521,0.907905989,0.935786829,-2.453935294,-0.869876459,-1.574189044,1.060637227,-0.552124118,-1.158372306,-0.57554592,1.025096934,-0.188563031,-0.216282551,1.457970708
A0A024R366,-1.25211975,-0.221147197,-1.489525584,1.11416691,-0.337463807,-0.581692777,-1.192501042,-0.365894939,0.421122531,-1.40166909,-0.534927886,-0.553242063,0.339411867,-0.697108554,0.580243703,-2.307958824,-1.123087927,-1.264842316,-0.991231439,-0.362543945,0.811069829,-1.678988694,-0.715898305,-0.101111673,0.85616998,-0.695711452,0.578265083,0.507189322,1.09574167,0.240643759,0.950003145
A0A024R371,-0.770714142,-0.859200618,0.147802253,0.280929113,-1.242139185,-0.730856644,0.374234762,0.462006841,-0.790008792,0.143543563,0.75582537,1.295567326,0.093310217,0.972026615,0.443175839,0.048874932,0.659473095,-0.540758944,0.558833181,-0.073775019,1.474114518,2.656525208,-0.662423317,-1.870773949,-2.016081954,-0.600869245,0.696194798,-0.425015212,0.441136681,0.639174943,-0.824831158
A0A024R374,-0.942516927,-1.05730161,1.265797118,-0.814439715,0.086598899,0.408406361,-0.006118502,1.268789307,-1.506255765,-1.12492994,-0.708209855,1.10275902,0.131849246,-1.807586974,0.023765919,-0.542290173,1.087049205,-0.93169945,1.084065346,0.168064286,-0.244459203,-0.508843721,-0.003800777,-0.501915661,1.03552528,1.719338074,-0.120583104,0.67063137,1.479586314,-0.686502492,-0.404736378
A0A024R388,0.299927238,-0.611017079,0.161414082,0.669012939,-0.100748859,0.206419875,0.906673152,-0.039621631,0.705952854,-0.497374983,0.827348562,-1.06575151,0.053200572,-0.421524854,0.607037741,-0.196982406,0.048562482,-0.052949846,-0.525116431,-0.803763041,-0.775782376,2.625020789,-0.609601043,0.106347066,-0.417266969,-1.858090302,-0.587525536,-0.310844046,0.485171344,-0.804816369,3.405975709
A0A024R394,0.657538159,1.469509697,-0.081447537,1.650409997,0.736967154,-1.297925247,0.211081004,0.338423178,0.872130051,-1.853449898,0.319819733,-0.665763844,2.310494805,-0.000681614,0.016481395,-0.594497129,0.127044638,0.59611239,0.496965119,-0.178576001,-1.481414239,-0.446558096,0.081343018,-1.24993437,-0.447086368,0.181351254,0.481738599,-0.103681937,-0.454776297,-2.547007488,0.791906179
A0A024R395,-0.293731013,-0.605038005,-0.192110013,1.610520745,-0.837622332,0.031434267,1.252166624,0.138211131,1.094053797,-1.422982446,1.015620881,-0.280451183,0.644788209,-1.897006725,1.398820216,-0.512029845,0.117738422,0.6375593,-0.645226055,-2.146992517,0.7719337,1.147227655,-0.34782975,-0.684420871,-0.503313929,1.527856035,-1.117313332,-0.559741629,0.534130394,-0.494165333,1.507604215
A0A024R396,0.406431929,-0.028113554,-0.080487771,1.939883567,0.195716075,0.294276563,0.024934786,0.473119444,0.228332584,0.376377533,-0.174554169,-0.136353761,-0.425774916,-0.363772163,0.328120428,0.499725941,-1.677140876,-2.335496024,-1.659863343,-0.322716552,-0.063448779,0.208591846,0.177466445,-0.477464107,0.126967706,2.988765907,-0.444632951,0.870044814,1.014390395,-0.208521839,0.371581957
